,time,open,high,low,close,volume,ticker,action,action_converted,confidence,shares_held,ep_net
0,1/2/2020,8.57,8.71,8.55,8.71,991450,SSI,-1.8342843055725098,SELL_50,0.3005208671092987,0,1000000.0
1,1/3/2020,8.76,8.81,8.59,8.64,703890,SSI,-2.47836971282959,SELL_50,0.1503962129354477,0,1000000.0
2,1/6/2020,8.59,8.66,8.55,8.62,1348120,SSI,-0.09742385149002075,HOLD,0.2458098977804184,0,1000000.0
3,1/7/2020,8.62,8.66,8.59,8.64,643090,SSI,-0.24133747816085815,SELL_20,0.28029221296310425,0,1000000.0
4,1/8/2020,8.55,8.57,8.31,8.4,2622960,SSI,0.11106669902801514,BUY_20,0.1959073692560196,59523,1005452.3068
5,1/9/2020,8.5,8.55,8.45,8.5,1149130,SSI,-1.5589442253112793,SELL_50,0.33359387516975403,29762,1009961.2583000001
6,1/10/2020,8.52,8.69,8.48,8.66,2067400,SSI,-1.0824512243270874,SELL_50,0.39883822202682495,14881,1009832.38884
7,1/13/2020,8.62,8.76,8.62,8.66,1125380,SSI,-1.3680882453918457,SELL_50,0.3818783760070801,7441,1010140.00844
8,1/14/2020,8.66,8.74,8.64,8.71,1066740,SSI,-1.064385175704956,SELL_50,0.3989088535308838,3721,1010107.60724
9,1/15/2020,8.74,8.74,8.66,8.71,830260,SSI,-0.7480199337005615,SELL_50,0.3776128888130188,1861,1010705.53664
10,1/16/2020,8.71,9.04,8.71,9.04,2384770,SSI,-1.7170089483261108,SELL_50,0.32579946517944336,931,1010762.2994400001
11,1/17/2020,9.09,9.23,9.0,9.11,2832740,SSI,-0.9124315977096558,SELL_50,0.39331021904945374,466,1010758.0632900001
12,1/20/2020,9.11,9.11,9.0,9.11,1288010,SSI,-1.6428704261779785,SELL_50,0.34074753522872925,233,1010755.9406600001
13,1/21/2020,9.04,9.21,9.02,9.11,1541100,SSI,0.8432852029800415,BUY_50,0.06258624792098999,55591,1011919.3592800002
14,1/22/2020,9.11,9.19,9.07,9.14,1729500,SSI,-1.4830880165100098,SELL_50,0.351476788520813,27796,1001102.8329800002
15,1/30/2020,8.97,8.97,8.57,8.76,2412920,SSI,-2.059706449508667,SELL_50,0.2423473596572876,13898,995699.8465000002
16,1/31/2020,8.57,8.66,8.17,8.38,4457280,SSI,-0.2906716465950012,SELL_20,0.2937699258327484,6949,993487.4238800002
17,2/3/2020,7.95,8.1,7.81,8.07,3144570,SSI,0.04160714149475098,HOLD,0.21326306462287903,65028,991718.1663500003
18,2/4/2020,8.1,8.17,7.95,8.05,1782240,SSI,-0.965335488319397,SELL_50,0.39847975969314575,32514,990806.1486500001
19,2/5/2020,8.1,8.17,8.0,8.03,2164080,SSI,-1.811996340751648,SELL_50,0.2998867332935333,16257,996365.5549400002
20,2/6/2020,8.05,8.38,8.0,8.38,2870780,SSI,-1.0665870904922485,SELL_50,0.398937851190567,8129,996297.4423000001
21,2/7/2020,8.38,8.5,8.29,8.38,2561750,SSI,0.6739524602890015,BUY_50,0.08615590631961823,63509,991387.7279000002
