,time,open,high,low,close,volume,ticker,action,action_converted,confidence,shares_held,ep_net
0,1/2/2020,8.57,8.71,8.55,8.71,991450,SSI,0.10806822776794434,BUY_20,0.334096223115921,57405,995481.6524499999
1,1/3/2020,8.76,8.81,8.59,8.64,703890,SSI,1.3735501766204834,BUY_50,0.32495859265327454,86311,993505.6846099999
2,1/6/2020,8.59,8.66,8.55,8.62,1348120,SSI,2.0359363555908203,BUY_50,0.20145659148693085,100783,995396.5959700001
3,1/7/2020,8.62,8.66,8.59,8.64,643090,SSI,0.5134999752044678,BUY_50,0.3246186375617981,107995,969415.48429
4,1/8/2020,8.55,8.57,8.31,8.4,2622960,SSI,1.0070310831069946,BUY_50,0.369886189699173,111700,980554.3622900001
5,1/9/2020,8.5,8.55,8.45,8.5,1149130,SSI,2.5848937034606934,BUY_50,0.22560381889343262,113529,998703.45579
6,1/10/2020,8.52,8.69,8.48,8.66,2067400,SSI,1.3488342761993408,BUY_50,0.39051857590675354,114426,998695.6877700001
7,1/13/2020,8.62,8.76,8.62,8.66,1125380,SSI,1.5686675310134888,BUY_50,0.39890310168266296,114874,1004435.5080900001
8,1/14/2020,8.66,8.74,8.64,8.71,1066740,SSI,-0.44827044010162354,SELL_30,0.0539146289229393,57437,1003935.2318200002
9,1/15/2020,8.74,8.74,8.66,8.71,830260,SSI,1.0777126550674438,BUY_50,0.37590935826301575,86349,1032178.5783000002
10,1/16/2020,8.71,9.04,8.71,9.04,2384770,SSI,1.2262675762176514,BUY_50,0.37375009059906006,100264,1039071.2667
11,1/17/2020,9.09,9.23,9.0,9.11,2832740,SSI,0.9624665379524231,BUY_50,0.39196479320526123,107161,1039008.4350300002
12,1/20/2020,9.11,9.11,9.0,9.11,1288010,SSI,2.370047092437744,BUY_50,0.24757850170135498,110606,1038977.0510800001
13,1/21/2020,9.04,9.21,9.02,9.11,1541100,SSI,1.389991283416748,BUY_50,0.3958596885204315,112326,1042331.1618800003
14,1/22/2020,9.11,9.19,9.07,9.14,1729500,SSI,3.6994729042053223,BUY_50,0.040048643946647644,113183,999313.7889000002
15,1/30/2020,8.97,8.97,8.57,8.76,2412920,SSI,0.5407183170318604,BUY_50,0.23859046399593353,113629,956130.8619400003
16,1/31/2020,8.57,8.66,8.17,8.38,4457280,SSI,0.7585752606391907,BUY_50,0.2910960018634796,113862,920831.6894000003
17,2/3/2020,7.95,8.1,7.81,8.07,3144570,SSI,-0.7324185371398926,SELL_50,0.029457198455929756,56931,919233.6362300003
18,2/4/2020,8.1,8.17,7.95,8.05,1782240,SSI,1.1956167221069336,BUY_50,0.3588317334651947,85560,917291.9727800002
19,2/5/2020,8.1,8.17,8.0,8.03,2164080,SSI,0.9370624423027039,BUY_50,0.3983941972255707,99896,952140.4547000004
20,2/6/2020,8.05,8.38,8.0,8.38,2870780,SSI,3.9176764488220215,BUY_50,0.009503981098532677,106758,952082.9511400004
21,2/7/2020,8.38,8.5,8.29,8.38,2561750,SSI,1.2116190195083618,BUY_50,0.3914141058921814,110185,944341.2828800004
22,2/10/2020,8.14,8.33,7.95,8.31,775620,SSI,4.156261444091797,BUY_50,0.012571807950735092,111912,938731.3315100003
23,2/11/2020,8.31,8.33,8.24,8.26,1521880,SSI,1.7873255014419556,BUY_50,0.3883676528930664,112779,957896.6000900003
24,2/12/2020,8.29,8.43,8.29,8.43,2789960,SSI,0.45675337314605713,BUY_30,0.21839216351509094,113204,946572.6173400003
25,2/13/2020,8.33,8.38,8.31,8.33,1264660,SSI,0.9204623103141785,BUY_50,0.326770544052124,113419,957912.7263900002
26,2/14/2020,8.33,8.45,8.29,8.43,1102790,SSI,1.724462866783142,BUY_50,0.39293789863586426,113525,949965.0828100002
27,2/17/2020,8.43,8.5,8.36,8.36,1955060,SSI,0.7810415625572205,BUY_50,0.2970443367958069,113578,944285.7397300004
28,2/18/2020,8.38,8.38,8.24,8.31,1478110,SSI,2.524258613586426,BUY_50,0.24746516346931458,113605,946557.6153600003
29,2/19/2020,8.33,8.36,8.26,8.33,1668460,SSI,3.315096378326416,BUY_50,0.08341057598590851,113618,946557.5070700004
30,2/20/2020,8.38,8.45,8.29,8.33,1664520,SSI,0.5741215944290161,BUY_50,0.24892602860927582,113625,938603.6987600003
31,2/21/2020,8.33,8.36,8.26,8.26,1197860,SSI,1.9846625328063965,BUY_50,0.3622024953365326,113628,873835.7139800003
32,2/24/2020,8.07,8.12,7.69,7.69,3482920,SSI,2.1693828105926514,BUY_50,0.3282812833786011,113630,882926.0986000003
33,2/25/2020,7.5,7.79,7.5,7.77,1693240,SSI,0.28914153575897217,BUY_20,0.18133731186389923,113631,865881.4408300002
34,2/26/2020,7.58,7.91,7.53,7.62,1038320,SSI,2.3500096797943115,BUY_50,0.2884961664676666,113631,887471.3308300002
35,2/27/2020,7.58,7.81,7.55,7.81,1490420,SSI,2.7491724491119385,BUY_50,0.19318115711212158,113631,855654.6508300003
36,2/28/2020,7.65,7.67,7.48,7.53,1987700,SSI,0.8961837887763977,BUY_50,0.32325053215026855,113631,849973.1008300002
37,3/2/2020,7.6,7.62,7.46,7.48,2114140,SSI,-0.43924880027770996,SELL_30,0.055727653205394745,56816,853525.2446300003
38,3/3/2020,7.62,7.69,7.55,7.55,2088500,SSI,-1.0747759342193604,SELL_50,0.0768323540687561,28408,857287.8842300003
39,3/4/2020,7.58,7.79,7.53,7.69,2852970,SSI,0.8881492614746094,BUY_50,0.3930371105670929,69944,875153.9123900004
40,3/5/2020,7.84,8.03,7.79,7.95,3298460,SSI,0.874721884727478,BUY_50,0.3972673714160919,90013,871393.8438400002
41,3/6/2020,7.93,7.93,7.79,7.91,1362870,SSI,1.3471826314926147,BUY_50,0.37760087847709656,100088,816265.7505900004
